id	departmento	Tipo trámite	URL
294	se	90303	https://front.v30.ultrasist.net/se/catalogos/programas-prosec
295	se	90304	https://front.v30.ultrasist.net/se/modificaciones-immex-prosec/lista-programas
36	se	90305	https://front.v30.ultrasist.net/se/prosec-modificacion/lista-programas-prosec
37	se	110101	https://front.v30.ultrasist.net/se/pantallas/datosdecomponentes
38	se	110102	https://front.v30.ultrasist.net/se/exportador-autorizado/registrar-solicitud
39	se	110201	https://front.v30.ultrasist.net/se/registro/solicitud
40	se	110202	https://front.v30.ultrasist.net/se/certificado-validacion/validacion
41	se	110203	https://front.v30.ultrasist.net/se/tecnicos/solicitante
42	se	110204	https://front.v30.ultrasist.net/se/pexim/certificado-origen
323	se	110205	https://front.v30.ultrasist.net/se/validar-certificado/peru
115	se	110207	https://front.v30.ultrasist.net/se/reportes/solicitud
43	se	110208	https://front.v30.ultrasist.net/se/validar-inicialmente/certificado-origen
44	se	110209	https://front.v30.ultrasist.net/se/certificado-sgp/solicitud
158	se	110210	https://front.v30.ultrasist.net/se/tramites-disponibles/solicitud
45	se	110211	https://front.v30.ultrasist.net/se/validar-certificado/cam
116	se	110212	https://front.v30.ultrasist.net/se/validacion-posteriori/solicitante
117	se	110214	https://front.v30.ultrasist.net/se/validar-inicialmente-certificado/solicitante
46	se	110216	https://front.v30.ultrasist.net/se/inicialmente-certificado-origen/solicitante
47	se	110217	https://front.v30.ultrasist.net/se/certificado-origen/solicitante
48	se	110218	https://front.v30.ultrasist.net/se/certificado-tecnico-japon/validar-certificado-tecnico-japon
49	se	110219	https://front.v30.ultrasist.net/se/certificado/solicitud
50	se	110221	https://front.v30.ultrasist.net/se/validador-certificado-cam
324	se	110222	https://front.v30.ultrasist.net/se/validar-certificado-inicialmente/certificado
118	se	110223	https://front.v30.ultrasist.net/se/certificado-alianza-posteriori
119	se	120101	https://front.v30.ultrasist.net/se/solicitud-de-registro-tpl/pantallas
51	se	120201	https://front.v30.ultrasist.net/se/cupos/persona-fisica
120	se	120202	https://front.v30.ultrasist.net/se/expedicion-certificado-asignacion/persona-moral
121	se	120203	https://front.v30.ultrasist.net/se/expedicion-certificados-ptpd/solicitante
170	se	120204	https://front.v30.ultrasist.net/se/expedicion-certificado-cupos/solicitud-expedicion
52	se	120301	https://front.v30.ultrasist.net/se/elegibilidad-de-textiles/elegibilidad-textiles
316	se	120401	https://front.v30.ultrasist.net/se/asignacion-directa-cupo-personas-fisicas/solicitante
53	se	120402	https://front.v30.ultrasist.net/se/asignacion-directa-de-cupo/solicitante
603	se	120403	https://front.v30.ultrasist.net/se/cupos/solicitud
54	se	120404	https://front.v30.ultrasist.net/se/entidad-legal/soliciante
55	se	120501	https://front.v30.ultrasist.net/se/solicitartransferencia/cupos-solicitud-transferencia
56	se	120601	https://front.v30.ultrasist.net/se/registro-como-empresa/datos
57	se	120602	https://front.v30.ultrasist.net/se/empresa-frontera/datos-empresa
601	se	120603	https://front.v30.ultrasist.net/se/registro-como-expresa/registro-empresa
296	se	120702	https://front.v30.ultrasist.net/se/expedicion-certificados-frontera/solicitante
58	se	130102	https://front.v30.ultrasist.net/se/octava-temporal/solicitante
171	se	130103	https://front.v30.ultrasist.net/se/importacion-definitiva/pantallas
247	se	130104	https://front.v30.ultrasist.net/se/importacion-otros-vehiculos-usados/solicitud
248	se	130105	https://front.v30.ultrasist.net/se/importacion-vehiculos-usados-donacion/solicitud
59	se	130106	https://front.v30.ultrasist.net/se/desmantelar/solicitante
310	se	130107	https://front.v30.ultrasist.net/se/importaciones-agropecuarias/permisos-de-importacia
166	sener	130108	https://front.v30.ultrasist.net/sener/producto-petrolifero/solicitud
126	se	130109	https://front.v30.ultrasist.net/se/importacion-de/vehiculos-usados-adaptados
127	se	130110	https://front.v30.ultrasist.net/se/importacion/neumaticos-comercializar
60	se	130111	https://front.v30.ultrasist.net/se/importacion-de-vehiculos-usados/importacion-de-vehiculos
159	se	130112	https://front.v30.ultrasist.net/se/importacion-material-de-investigacion-cientifica
249	se	130113	https://front.v30.ultrasist.net/se/importacion/equipo-anticontaminante
160	se	130114	https://front.v30.ultrasist.net/se/diamante-bruto/diamante
161	se	130115	https://front.v30.ultrasist.net/se/importacion-vehiculos-nuevos/solicitud
250	se	130116	https://front.v30.ultrasist.net/se/solicitud-importacion-ambulancia/reconstruccion-reacondicionamiento
61	se	130118	https://front.v30.ultrasist.net/se/pexim/solicitud
62	se	130119	https://front.v30.ultrasist.net/se/aviso-importacion-maquinas/registrar-solicitud
63	se	130120	https://front.v30.ultrasist.net/se/permiso-importacion/intro-permiso
167	sener	130121	https://front.v30.ultrasist.net/sener/permiso-de-hidrocarburos/datos
276	sener	130201	https://front.v30.ultrasist.net/sener/exportacion-petroliferos/solicitud
64	se	130202	https://front.v30.ultrasist.net/se/exportacion-minerales/exportacion-mineralesde-hierro
162	se	130203	https://front.v30.ultrasist.net/se/exportar-diamantes/exportacion-de-diamantes-en-bruto
277	sener	130204	https://front.v30.ultrasist.net/sener/exportacion-hidrocarburos/solicitud
163	se	130217	https://front.v30.ultrasist.net/se/previos-exportacion/control-permisos-previos-exportacion
183	se	130301	https://front.v30.ultrasist.net/se/solicitud-prorroga/invocar
297	sener	130302	https://front.v30.ultrasist.net/sener/parmiso-importacion-petroleo/pantallas
251	se	130401	https://front.v30.ultrasist.net/se/modificacion-descripcion/invocar-modulo
184	se	140101	https://front.v30.ultrasist.net/se/solicitud-de-cancelacion/solicitante
318	se	140102	https://front.v30.ultrasist.net/se/registro-solicitudModule/pantallas
65	se	140103	https://front.v30.ultrasist.net/se/cancelacion-de/solicitante
106	se	140104	https://front.v30.ultrasist.net/se/cancelacion-de-certificados-de-cupo/solicitante
66	se	140105	https://front.v30.ultrasist.net/se/desistimiento-de-permiso/solicitante
168	sener	140111	https://front.v30.ultrasist.net/sener/renuncia-de-derechos-de-permisos/solicitante
169	sener	140112	https://front.v30.ultrasist.net/sener/hidrocarburos-de-petroleo/permiso-de-retiro
67	se	140201	https://front.v30.ultrasist.net/se/cancelaciones-ministerio/solicitud
623	se	140201	https://front.v30.ultrasist.net/se/atender-requerimientos
605	se	140205	https://front.v30.ultrasist.net/se/cancelaciones-certificado/solicitud
278	sener	140216	https://front.v30.ultrasist.net/sener/pexim/suspension-permiso
298	sener	140218	https://front.v30.ultrasist.net/sener/renuncia-de-permiso/solicitud
68	se	150101	https://front.v30.ultrasist.net/se/registro-solicitud-anual/solicitud
69	se	150102	https://front.v30.ultrasist.net/se/reporte-anual/solicitud
122	se	150103	https://front.v30.ultrasist.net/se/informe-anual-programa/solicitud-de-reporte
606	se	190401	https://front.v30.ultrasist.net/se/doc-equivalente/iniciar
70	agricultura	220102	https://front.v30.ultrasist.net/agricultura/peticion-requisitos-fitosanitarios/invocar-modulo
450	agricultura	220103	https://front.v30.ultrasist.net/agricultura/sanidad-acuicola-importacion/solicitud
71	agricultura	220201	https://front.v30.ultrasist.net/agricultura/certificado-zoosanitario/registrozoosanitario
72	agricultura	220202	https://front.v30.ultrasist.net/agricultura/certificado-fitosanitario/registrofitosanitario
73	agricultura	220203	https://front.v30.ultrasist.net/agricultura/importacion-acuacultura/sanidad
74	agricultura	220401	https://front.v30.ultrasist.net/agricultura/pantallas-extraordinarios
